Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
11689.999774515629,215,14,705
11709.982999384403,298,22,1075
11729.966224253178,416,31,1555
11749.949449121952,573,29,2125
11769.932673990726,711,41,2782
11789.9158988595,833,37,3331
11809.899123728275,982,56,3715
11829.88234859705,993,46,3891
11849.865573465824,912,56,3727
11869.848798334599,895,55,3555
11889.832023203373,755,43,3074
11909.815248072147,545,36,2416
11929.798472940922,492,35,1928
11949.781697809696,347,17,1413
11969.76492267847,245,13,1001
11989.748147547245,155,13,592
12009.73137241602,103,13,423
12029.714597284794,75,11,303
12049.697822153568,77,9,157
12069.681047022343,59,7,146
12089.664271891117,45,15,117
12109.647496759892,56,8,105
12129.630721628666,61,12,118
12149.61394649744,57,11,123
12169.597171366215,57,16,151
12189.58039623499,77,11,179
12209.563621103764,87,15,238
12229.546845972538,133,10,303
12249.530070841312,142,16,375
12269.513295710087,157,18,492
12289.496520578861,189,15,548
12309.479745447636,236,16,649
12329.46297031641,254,23,782
12349.446195185184,251,19,827
12369.429420053959,266,23,869
12389.412644922733,254,20,923
12409.395869791508,300,29,857
12429.379094660282,287,18,889
12449.362319529057,257,20,905
12469.345544397831,237,9,830
12489.328769266605,236,24,770
12509.31199413538,217,22,701
12529.295219004154,184,11,610
12549.278443872929,169,22,511
12569.261668741703,142,23,429
12589.244893610477,147,17,355
12609.228118479252,127,8,338
12629.211343348026,127,9,368
12649.1945682168,177,16,383
12669.177793085575,222,21,519
12689.16101795435,286,23,683
12709.144242823124,456,18,979
12729.127467691898,610,24,1280
12749.110692560673,759,26,1684
12769.093917429447,854,52,2122
12789.077142298222,1017,51,2426
12809.060367166996,1080,57,2576
12829.04359203577,1039,62,2639
12849.026816904545,1031,64,2489
12869.01004177332,901,48,2331
12888.993266642094,797,45,2107
12908.976491510868,607,40,1675
12928.959716379642,512,36,1334
12948.942941248417,437,34,988
12968.926166117191,285,24,735
12988.909390985966,222,16,607
13008.89261585474,171,22,430
13028.875840723515,120,17,309
13048.859065592289,99,16,205
13068.842290461063,95,8,164
13088.825515329838,97,12,149
13108.808740198612,78,14,126
13128.791965067387,57,12,90
13148.775189936161,51,8,84
13168.758414804935,68,7,86
13188.74163967371,60,9,69
13208.724864542484,60,13,60
13228.708089411259,65,13,61
13248.691314280033,74,10,91
13268.674539148808,79,12,98
13288.657764017582,95,15,127
13308.640988886356,93,14,140
13328.62421375513,140,15,216
13348.607438623905,164,17,265
13368.59066349268,206,17,357
13388.573888361454,273,18,451
13408.557113230228,287,23,568
13428.540338099003,363,32,624
13448.523562967777,341,30,695
13468.506787836552,406,34,755
13488.490012705326,356,34,727
13508.4732375741,341,34,715
13528.456462442875,321,25,630
13548.43968731165,259,16,558
13568.422912180424,208,21,417
13588.406137049198,172,17,350
13608.389361917973,178,18,275
13628.372586786747,111,16,198
13648.355811655521,90,9,120
13668.339036524296,90,16,109
13688.32226139307,72,15,84
13708.305486261845,83,11,73
13728.288711130619,92,11,80
13748.271935999393,95,10,96
13768.255160868168,89,15,105
13788.238385736942,137,11,138
13808.221610605717,137,10,145
13828.204835474491,171,11,216
13848.188060343266,175,12,211
13868.17128521204,202,11,250
13888.154510080814,181,19,244
13908.137734949589,177,14,256
13928.120959818363,180,14,242
13948.104184687138,182,15,213
13968.087409555912,155,12,204
13988.070634424686,131,13,157
14008.05385929346,116,8,125
14028.037084162235,117,11,101
14048.02030903101,105,10,92
14068.003533899784,95,12,90
14087.986758768559,92,15,96
14107.969983637333,116,7,98
14127.953208506107,96,12,77
14147.936433374882,94,13,67
14167.919658243656,95,9,81
14187.90288311243,80,11,70
14207.886107981205,89,11,70
14227.86933284998,85,9,56
14247.852557718754,84,5,40
14267.835782587528,80,11,42
14287.819007456303,74,9,41
14307.802232325077,86,10,33
14327.785457193851,79,10,30
14347.768682062626,59,8,25
14367.7519069314,91,9,25
14387.735131800175,87,9,21
14407.71835666895,90,14,22
14427.701581537724,88,7,35
14447.684806406498,84,9,48
14467.668031275272,85,7,31
14487.651256144047,97,11,58
14507.634481012821,101,19,41
14527.617705881596,94,17,50
