Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
13928.1728,153,10,75,,,,
13948.15602,133,10,74,,,,
13968.13925,148,16,76,,,,
13988.12247,154,8,80,,,,
14008.1057,175,11,75,,,,
14028.08892,170,17,67,,,,
14048.07215,161,17,91,,,,
14068.05537,164,21,95,,,,
14088.03859,221,30,112,,,,
14108.02182,202,23,111,,,,
14128.00504,210,23,118,,,,
14147.98827,171,37,115,,,,
14167.97149,190,36,97,,,,
14187.95472,192,24,104,,,,
14207.93794,180,24,84,,,,
14227.92117,167,21,70,,,,
14247.90439,179,15,78,,,,
14267.88762,180,15,51,,,,
14287.87084,185,15,37,,,,
14307.85407,158,8,44,,,,
14327.83729,153,9,41,,,,
14347.82052,180,8,46,,,,
14367.80374,153,7,51,,,,
14387.78697,159,7,44,,,,
14407.77019,132,10,42,,,,
14427.75342,160,8,54,,,,
14447.73664,157,2,42,,,,
14467.71987,180,9,46,,,,
14487.70309,164,7,48,,,,
14507.68632,157,7,44,,,,
14527.66954,164,2,51,,,,
14547.65277,156,6,46,,,,
14567.63599,170,4,48,,,,
14587.61922,135,8,40,,,,
14607.60244,167,12,33,,,,
14627.58567,168,7,33,,,,
14647.56889,185,6,31,,,,
14667.55212,156,9,32,,,,
14687.53534,168,14,24,,,,
14707.51857,170,3,27,,,,
14727.50179,184,6,22,,,,
14747.48502,179,10,22,,,,
14767.46824,188,15,19,,,,
14787.45147,193,13,10,,,,
14807.43469,194,14,20,,,,
14827.41792,192,16,24,,,,
14847.40114,190,16,15,,,,
14867.38436,171,16,33,,,,
14887.36759,196,18,12,,,,
14907.35081,209,24,16,,,,
14927.33404,183,20,23,,,,
14947.31726,192,23,23,,,,
14967.30049,209,16,19,,,,
14987.28371,206,17,23,,,,
15007.26694,167,22,20,,,,
15027.25016,191,14,19,,,,
15047.23339,205,16,20,,,,
15067.21661,171,11,29,,,,
15087.19984,201,13,29,,,,
15107.18306,150,16,35,,,,
15127.16629,187,14,15,,,,
15147.14951,166,5,28,,,,
15167.13274,196,12,24,,,,
15187.11596,194,11,29,,,,
15207.09919,193,11,27,,,,
15227.08241,164,14,23,,,,
15247.06564,181,10,24,,,,
15267.04886,169,7,32,,,,
15287.03209,175,9,20,,,,
15307.01531,185,18,32,,,,
15326.99854,171,13,20,,,,
15346.98176,165,10,25,,,,
